Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
LOGI,Logitech International S.A.,93.94,$15.89B,1997,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/logi
CNCR,Loncar Cancer Immunotherapy ETF,27.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cncr
CHNA,Loncar China BioPharma ETF,30.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chna
LOAC,Longevity Acquisition Corporation,10.8,$28.37M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/loac
LOACR,Longevity Acquisition Corporation,0.98,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/loacr
LOACU,Longevity Acquisition Corporation,12.2,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/loacu
LOACW,Longevity Acquisition Corporation,0.65,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/loacw
LOOP,"Loop Industries, Inc.",6.37,$268.9M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/loop
LORL,"Loral Space and Communications, Inc.",16.78,$519.05M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/lorl
RIDE,Lordstown Motors Corp.,17.89,n/a,2019,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/ride
RIDEW,Lordstown Motors Corp.,6.9,n/a,2019,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/ridew
LPLA,LPL Financial Holdings Inc.,76.15,$6.04B,2010,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/lpla
LYTS,LSI Industries Inc.,7.17,$188.86M,1985,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/lyts
LULU,lululemon athletica inc.,343.8,$44.8B,2007,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/lulu
LITE,Lumentum Holdings Inc.,88.66,$6.69B,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/lite
LMNX,Luminex Corporation,23.15,$1.07B,2000,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/lmnx
LUMO,"Lumos Pharma, Inc.",14.85,$123.16M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lumo
LUNA,Luna Innovations Incorporated,6.71,$206.66M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/luna
LKCO,Luokung Technology Corp,0.42,$84.55M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/lkco
LBC,Luther Burbank Corporation,9.64,$505.23M,2003,Finance,Major Banks,https://old.nasdaq.com/symbol/lbc
LUXAU,Lux Health Tech Acquisition Corp.,10.42,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/luxau
LYFT,"Lyft, Inc.",29.84,$9.31B,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/lyft
LYRA,"Lyra Therapeutics, Inc.",11,$142.17M,2020,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/lyra
MCBC,Macatawa Bank Corporation,7.23,$246.55M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mcbc
MFNC,Mackinac Financial Corporation,10.98,$115.66M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mfnc
MTSI,"MACOM Technology Solutions Holdings, Inc.",43.26,$2.89B,2012,Technology,Semiconductors,https://old.nasdaq.com/symbol/mtsi
MGNX,"MacroGenics, Inc.",19.79,$1.07B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mgnx
MDGL,"Madrigal Pharmaceuticals, Inc.",123.89,$1.91B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mdgl
MAGS,Magal Security Systems Ltd.,3.82,$88.45M,1993,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/mags
MGLN,"Magellan Health, Inc.",76.27,$1.95B,n/a,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/mgln
MGTA,"Magenta Therapeutics, Inc.",6.3,$303.99M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mgta
MGIC,Magic Software Enterprises Ltd.,13.15,$644.05M,1991,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mgic
MGNI,"Magnite, Inc.",11.35,$1.25B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/mgni
MGYR,"Magyar Bancorp, Inc.",8.36,$48.58M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/mgyr
MHLD,"Maiden Holdings, Ltd.",1.24,$105.05M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mhld
MNSB,"MainStreet Bancshares, Inc.",14.94,$123.67M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mnsb
MNSBP,"MainStreet Bancshares, Inc.",25.15,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mnsbp
MMYT,MakeMyTrip Limited,20,$2.07B,2010,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/mmyt
MLAC,Malacca Straits Acquisition Company Limited,9.67,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/mlac
MLACU,Malacca Straits Acquisition Company Limited,9.8665,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/mlacu
MLACW,Malacca Straits Acquisition Company Limited,0.46,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/mlacw
MBUU,"Malibu Boats, Inc.",55.73,$1.15B,2014,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/mbuu
MACUU,Mallard Acquisition Corp.,10,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/macuu
MLVF,"Malvern Bancorp, Inc.",13.42,$102.13M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/mlvf
TUSK,"Mammoth Energy Services, Inc.",1.77,$81M,2016,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/tusk
MANH,"Manhattan Associates, Inc.",94.29,$5.99B,1998,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/manh
LOAN,"Manhattan Bridge Capital, Inc",4.33,$41.65M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/loan
MNTX,"Manitex International, Inc.",4.38,$86.58M,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mntx
MTEX,"Mannatech, Incorporated",16.4088,$34.48M,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/mtex
MNKD,MannKind Corporation,2.28,$522.52M,2004,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mnkd
MANT,ManTech International Corporation,72.3,$2.92B,2002,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/mant
MARA,"Marathon Patent Group, Inc.",2.41,$123.88M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/mara
MCHX,"Marchex, Inc.",1.82,$71.99M,2004,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/mchx
MRIN,Marin Software Incorporated,2.09,$14.55M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/mrin
MARPS,Marine Petroleum Trust,3.6,$7.2M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/marps
MRNS,"Marinus Pharmaceuticals, Inc.",13.42,$410.28M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mrns
MRKR,"Marker Therapeutics, Inc.",1.45,$67.6M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mrkr
MKTX,"MarketAxess Holdings, Inc.",579.18,$21.99B,2004,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/mktx
MRLN,Marlin Business Services Corp.,8.26,$98.91M,2003,Finance,Major Banks,https://old.nasdaq.com/symbol/mrln
MAR,Marriott International,103.89,$33.69B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/mar
MBII,"Marrone Bio Innovations, Inc.",1.19,$177.76M,2013,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/mbii
MRTN,"Marten Transport, Ltd.",16.22,$1.34B,1986,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/mrtn
MMLP,Martin Midstream Partners L.P.,1.41,$54.78M,2002,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/mmlp
MRVL,Marvell Technology Group Ltd.,45.13,$30.3B,2000,Technology,Semiconductors,https://old.nasdaq.com/symbol/mrvl
MASI,Masimo Corporation,254.94,$14.04B,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/masi
MCFT,"MasterCraft Boat Holdings, Inc.",22.77,$429.72M,2015,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/mcft
MTCH,"Match Group, Inc.",132.56,$34.47B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/mtch
MTLS,Materialise NV,38.92,$2.07B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtls
MTRX,Matrix Service Company,8.21,$217.24M,1990,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/mtrx
MAT,"Mattel, Inc.",14.235,$4.95B,n/a,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/mat
MATW,Matthews International Corporation,21.75,$680.01M,1994,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/matw
MVNR,Mavenir plc,n/a,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mvnr
MAXN,"Maxeon Solar Technologies, Ltd.",16.94,$511.27M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/maxn
MXIM,"Maxim Integrated Products, Inc.",79.48,$21.25B,1988,Technology,Semiconductors,https://old.nasdaq.com/symbol/mxim
MCFE,McAfee Corp.,16.8,$7.23B,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mcfe
MGRC,McGrath RentCorp,59.3,$1.43B,1984,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/mgrc
MDCA,MDC Partners Inc.,2.12,$155.89M,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/mdca
MDJH,MDJM LTD,3.35,$39M,2019,Finance,Real Estate,https://old.nasdaq.com/symbol/mdjh
MDRR,"Medalist Diversified REIT, Inc.",1.78,$8.45M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mdrr
MDRRP,"Medalist Diversified REIT, Inc.",11.25,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mdrrp
MBNKP,Medallion Bank,18.15,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/mbnkp
MFIN,Medallion Financial Corp.,3.13,$77.68M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/mfin
MFINL,Medallion Financial Corp.,25.27,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/mfinl
MDIA,Mediaco Holding Inc.,2.67,$18.95M,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/mdia
MDNA,Medicenna Therapeutics Corp.,4.04,$197.14M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mdna
MNOV,"MediciNova, Inc.",5.94,$266.87M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mnov
MDGS,Medigus Ltd.,2.12,$16.24M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mdgs
MDGSW,Medigus Ltd.,0.26,n/a,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mdgsw
MDWD,MediWound Ltd.,3.73,$101.5M,2014,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/mdwd
MEDP,"Medpace Holdings, Inc.",118.63,$4.24B,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/medp
MEIP,"MEI Pharma, Inc.",2.66,$299.31M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/meip
MGTX,MeiraGTx Holdings plc,14.3,$534.29M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/mgtx
MLCO,Melco Resorts & Entertainment Limited,16.2,$7.73B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/mlco
MTSL,MER Telemanagement Solutions Ltd.,1.24,$5.47M,1997,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/mtsl
MELI,"MercadoLibre, Inc.",1485.86,$73.86B,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/meli
MBWM,Mercantile Bank Corporation,21.37,$347.12M,1998,Finance,Major Banks,https://old.nasdaq.com/symbol/mbwm
MERC,Mercer International Inc.,6.84,$450.54M,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/merc
MBIN,Merchants Bancorp,21.11,$606.82M,2017,Finance,Major Banks,https://old.nasdaq.com/symbol/mbin
MBINO,Merchants Bancorp,25.1,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mbino
MBINP,Merchants Bancorp,26.84,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mbinp
MFH,Mercurity Fintech Holding Inc.,2.71,$22.29M,2015,Technology,EDP Services,https://old.nasdaq.com/symbol/mfh
MRCY,Mercury Systems Inc,69.83,$3.91B,1998,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/mrcy
MREO,Mereo BioPharma Group plc,2.45,$165.97M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mreo
MCMJ,Merida Merger Corp. I,9.89,$161.92M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/mcmj
MCMJW,Merida Merger Corp. I,0.4001,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/mcmjw
EBSB,"Meridian Bancorp, Inc.",11.78,$617.43M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ebsb
VIVO,Meridian Bioscience Inc.,18.68,$800.67M,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/vivo
MRBK,Meridian Corporation,17.9,$109.73M,2017,n/a,n/a,https://old.nasdaq.com/symbol/mrbk
MMSI,"Merit Medical Systems, Inc.",51.05,$2.83B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmsi
SNUG,Merlyn.AI Tactical Growth & Income ETF,26.38,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/snug
MACK,"Merrimack Pharmaceuticals, Inc.",3.85,$51.51M,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mack
MRSN,"Mersana Therapeutics, Inc.",22.38,$1.53B,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mrsn
MRUS,Merus N.V.,12.61,$366.41M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mrus
MESA,"Mesa Air Group, Inc.",3.42,$121.12M,2018,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/mesa
MLAB,"Mesa Laboratories, Inc.",265.33,$1.35B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mlab
MESO,Mesoblast Limited,11.73,$1.38B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/meso
CASH,"Meta Financial Group, Inc.",29.29,$1.01B,1993,Finance,Major Banks,https://old.nasdaq.com/symbol/cash
MTCR,"Metacrine, Inc.",9.35,$242.37M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mtcr
METX,Meten EdtechX Education Group Ltd.,2.64,$140.69M,n/a,Finance,Business Services,https://old.nasdaq.com/symbol/metx
METXW,Meten EdtechX Education Group Ltd.,0.13,n/a,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/metxw
MEOH,Methanex Corporation,29.92,$2.28B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/meoh
MCBS,"MetroCity Bankshares, Inc.",13.63,$349.94M,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/mcbs
MGEE,MGE Energy Inc.,66.51,$2.41B,n/a,Energy,Electric Utilities: Central,https://old.nasdaq.com/symbol/mgee
MGPI,"MGP Ingredients, Inc.",38.69,$654.47M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/mgpi
MBOT,Microbot Medical Inc. ,7.26,$51.57M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/mbot
MCHP,Microchip Technology Incorporated,125.28,$31.63B,1993,Technology,Semiconductors,https://old.nasdaq.com/symbol/mchp
MU,"Micron Technology, Inc.",55.16,$61.41B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/mu
MSFT,Microsoft Corporation,223.72,$1691.43B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/msft
MSTR,MicroStrategy Incorporated,185.62,$1.72B,1998,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mstr
MVIS,"Microvision, Inc.",1.86,$272.31M,1996,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mvis
MICT,"MICT, Inc.",1.65,$90.96M,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/mict
MPB,Mid Penn Bancorp,20.27,$170.58M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mpb
MTP,Midatech Pharma PLC,1.81,$22.83M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mtp
MCEP,"Mid-Con Energy Partners, LP",2.11,$30.2M,2011,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mcep
MBCN,Middlefield Banc Corp.,19,$121.18M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mbcn
MSEX,Middlesex Water Company,66.85,$1.17B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/msex
MSBI,"Midland States Bancorp, Inc.",14.61,$330.23M,2016,Finance,Major Banks,https://old.nasdaq.com/symbol/msbi
MSVB,"Mid-Southern Bancorp, Inc.",13.6,$45.27M,2018,Finance,Savings Institutions,https://old.nasdaq.com/symbol/msvb
MOFG,"MidWestOne Financial Group, Inc.",20.09,$323.44M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mofg
MIST,Milestone Pharmaceuticals Inc.,6.4,$182.53M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mist
MLND,"Millendo Therapeutics, Inc. ",1.56,$29.64M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mlnd
TIGO,Millicom International Cellular S.A.,30.16,$3.05B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/tigo
MIME,Mimecast Limited,42.68,$2.73B,2015,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mime
MDXG,"MiMedx Group, Inc",6.21,$689.53M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mdxg
MNDO,MIND C.T.I. Ltd.,2.245,$44.67M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/mndo
MIND,"MIND Technology, Inc.",2.03,$24.73M,1994,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mind
MINDP,"MIND Technology, Inc.",17.49,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mindp
NERV,"Minerva Neurosciences, Inc",3.45,$147.23M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nerv
YGMZ,MingZhu Logistics Holdings Limited,3.74,$44.88M,2020,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/ygmz
MGEN,"Miragen Therapeutics, Inc.",1.04,$71.22M,2014,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/mgen
MRTX,"Mirati Therapeutics, Inc.",230.67,$11.39B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mrtx
MIRM,"Mirum Pharmaceuticals, Inc.",17.92,$455.15M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mirm
MSON,"MISONIX, Inc.",11.75,$204.15M,1992,Capital Goods,Medical Specialities,https://old.nasdaq.com/symbol/mson
AVO,"Mission Produce, Inc.",13.68,$948.72M,2020,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/avo
MITK,"Mitek Systems, Inc.",14.76,$609.41M,n/a,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/mitk
MKSI,"MKS Instruments, Inc.",127.49,$7.03B,1999,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mksi
MMAC,"MMA Capital Holdings, Inc.",25.95,$148.03M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/mmac
MTC,"MMTec, Inc.",0.97,$19.47M,2019,n/a,n/a,https://old.nasdaq.com/symbol/mtc
MOBL,"MobileIron, Inc.",7.02,$832.46M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mobl
MRNA,"Moderna, Inc.",72.45,$28.67B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/mrna
MOGO,Mogo Inc.,1.89,$54.52M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/mogo
MWK,"Mohawk Group Holdings, Inc.",9.15,$193.25M,2019,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/mwk
MKD,Molecular Data Inc.,1.1,$142.6M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/mkd
MTEM,"Molecular Templates, Inc.",8.56,$427.31M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mtem
MBRX,"Moleculin Biotech, Inc.",0.6961,$42.95M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mbrx
MOMO,Momo Inc.,14.53,$3.04B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/momo
MKGI,"Monaker Group, Inc.",2.03,$29.57M,n/a,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/mkgi
MCRI,"Monarch Casino & Resort, Inc.",48.94,$893.65M,1993,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/mcri
MDLZ,"Mondelez International, Inc.",55.84,$79.86B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/mdlz
MGI,"Moneygram International, Inc.",5.51,$399.57M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/mgi
MDB,"MongoDB, Inc.",252.4,$14.86B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mdb
MNCL,Monocle Acquisition Corporation,10.12,$225.47M,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mncl
MNCLU,Monocle Acquisition Corporation,10.2,n/a,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mnclu
MNCLW,Monocle Acquisition Corporation,0.4168,n/a,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mnclw
MPWR,"Monolithic Power Systems, Inc.",357.18,$16.11B,2004,Technology,Semiconductors,https://old.nasdaq.com/symbol/mpwr
MNPR,Monopar Therapeutics Inc.,4.3899,$47.13M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mnpr
MNRO,"Monro, Inc. ",40.89,$1.36B,1991,Consumer Services,Automotive Aftermarket,https://old.nasdaq.com/symbol/mnro
MRCC,Monroe Capital Corporation,6.62,$141.03M,2012,n/a,n/a,https://old.nasdaq.com/symbol/mrcc
MRCCL,Monroe Capital Corporation,24.48,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mrccl
MNST,Monster Beverage Corporation,83.26,$43.91B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/mnst
MAACU,Montes Archimedes Acquisition Corp.,9.975,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/maacu
MORN,"Morningstar, Inc.",208.4,$8.93B,2005,Finance,Investment Managers,https://old.nasdaq.com/symbol/morn
MORF,"Morphic Holding, Inc.",26.28,$805.69M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/morf
MOR,MorphoSys AG,26.69,$3.49B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mor
MOSY,"MoSys, Inc.",1.57,$5.55M,2001,Technology,Semiconductors,https://old.nasdaq.com/symbol/mosy
MOTNU,Motion Acquisition Corp.,9.93,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/motnu
MPAA,"Motorcar Parts of America, Inc.",16.08,$305.85M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/mpaa
MOTS,"Motus GI Holdings, Inc.",0.7392,$23.79M,2018,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mots
MCAC,Mountain Crest Acquisition Corp.,10.05,$82.84M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/mcac
MCACR,Mountain Crest Acquisition Corp.,0.59,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/mcacr
MCACU,Mountain Crest Acquisition Corp.,10.4201,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/mcacu
MOXC,"Moxian, Inc.",1.2,$19.43M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/moxc
COOP,Mr. Cooper Group Inc.,23.88,$2.17B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/coop
MTBC,"MTBC, Inc.",8.82,$112.02M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtbc
MTBCP,"MTBC, Inc.",25.31,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtbcp
MTSC,MTS Systems Corporation,26.75,$515.65M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mtsc
GRIL,"Muscle Maker, Inc",1.82,$19.6M,2020,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/gril
MBIO,"Mustang Bio, Inc.",2.7,$152.75M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mbio
MVBF,MVB Financial Corp.,17.54,$209.86M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mvbf
MYSZ,"My Size, Inc.",0.99,$7.16M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mysz
MYL,Mylan N.V.,14.65,$7.57B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myl
MYOK,"MyoKardia, Inc.",224.41,$11.96B,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myok
MYOS,MYOS RENS Technology Inc.,1.13,$13.78M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myos
MYRG,"MYR Group, Inc.",44.17,$738.84M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/myrg
MYGN,"Myriad Genetics, Inc.",14.29,$1.07B,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/mygn
NBRV,Nabriva Therapeutics plc,0.441,$63.48M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nbrv
NAKD,Naked Brand Group Limited,0.0732,$3.18M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/nakd
